Record ID,Platform,Post Content,Media Type,Post Date & Time,User Name,City,State,Country,Engagement Type,Hashtags Used,Mentions,Engagement Count,Comments Text,Age_Group,User Demographics,Post Link,Campaign Name,Post Reach,User Profile Link,Post Impressions,Post Shares,Sponsored,Cost(USD)
1,LinkedIn,Loving the vibes here!,Image,23-12-2023 15:52,Aanya,Mumbai, Maharashtra, India,Like,#sample,@charlie,664,Great post!,25-34,Male,http://socialmedia.com/post/178889,New Product Launch,318926,http://socialmedia.com/post/598096,312687,57395,FALSE,251365
2,Instagram,This is a sample post content Check out our New Product Launch!,Video,20-07-2023 06:49,Emily,London, England, UK,Like,#newproduct,@bob,200,Great post!,25-34,Male,http://socialmedia.com/post/57226,Winter Sale,228703,http://socialmedia.com/post/264212,406429,917378,FALSE,182911
3,Instagram,This is a sample post content,Image,21-09-2023 01:34,Liam,Sydney, NSW, Australia,Share,#sample,@charlie,9112,Great post!,25-34,Male,http://socialmedia.com/post/613666,Winter Sale,236402,http://socialmedia.com/post/404773,303726,527908,FALSE,352032
4,Twitter,This is a sample post content,Image,28-09-2023 09:22,Sophie,London, England, UK,Like,#trending,@charlie,1002,Great post!,18-24,Male,http://socialmedia.com/post/283691,Winter Sale,165792,http://socialmedia.com/post/536877,293811,335130,FALSE,269538
5,TikTok,This is a sample post content,Video,28-04-2023 00:44,John,New York, NY, USA,Comment,#sample,@alice,35444,Great post!,25-34,Female,http://socialmedia.com/post/57783,New Product Launch,330913,http://socialmedia.com/post/109447,75627,749674,FALSE,457945
6,Instagram,Loving the vibes here!,Text,24-05-2023 08:48,Olivia,Sydney, NSW, Australia,Follow,#trending,@alice,198,Thanks for sharing!,25-34,Female,http://socialmedia.com/post/840454,New Product Launch,653143,http://socialmedia.com/post/493116,850945,718472,TRUE,436554
7,Facebook,Loving the vibes here! Check out our New Product Launch!,Text,01-03-2023 19:36,Noah,Sydney, NSW, Australia,Like,#newproduct,@alice,39990,Thanks for sharing!,25-34,Female,http://socialmedia.com/post/234462,Summer Collection,358500,http://socialmedia.com/post/15915,288783,982891,FALSE,244337
8,Twitter,This is a sample post content,Text,05-11-2023 09:36,Oliver,London, England, UK,Like,#trending,@charlie,11106,Awesome product!,25-34,Female,http://socialmedia.com/post/569684,Winter Sale,244704,http://socialmedia.com/post/38644,483182,46839,FALSE,224016
9,LinkedIn,This is a sample post content Check out our New Product Launch!,Text,30-11-2023 11:39,Diya,Mumbai, Maharashtra, India,Like,#newproduct,@alice,12754,Great post!,18-24,Male,http://socialmedia.com/post/878890,New Product Launch,50756,http://socialmedia.com/post/377000,318531,708703,FALSE,416532
10,Twitter,Check out our new product!,Image,28-06-2023 14:49,Diya,Mumbai, Maharashtra, India,Comment,#sample,@bob,30163.5,Awesome product!,25-34,Female,http://socialmedia.com/post/574726,Winter Sale,847055,http://socialmedia.com/post/419269,932724,365244,TRUE,402419
11,Facebook,This is a sample post content Check out our New Product Launch!,Image,23-02-2023 09:28,Vivaan,Mumbai, Maharashtra, India,Like,#newproduct,@alice,270,Awesome product!,25-34,Female,http://socialmedia.com/post/714834,Winter Sale,454776,http://socialmedia.com/post/992543,366535,169936,FALSE,120605
12,LinkedIn,This is a sample post content,Video,14-03-2023 21:41,Noah,Sydney, NSW, Australia,Like,#sample,@bob,28635,Thanks for sharing!,25-34,Female,http://socialmedia.com/post/939223,New Product Launch,530791,http://socialmedia.com/post/327007,691899,453153,TRUE,231791
13,LinkedIn,This is a sample post content,Video,15-01-2023 06:04,Diya,Mumbai, Maharashtra, India,Like,#trending,@bob,278,Awesome product!,18-24,Female,http://socialmedia.com/post/791468,New Product Launch,28412,http://socialmedia.com/post/851355,421306,946507,FALSE,120145
14,LinkedIn,Loving the vibes here! Check out our New Product Launch!,Image,17-06-2023 09:42,Aarav,Mumbai, Maharashtra, India,Like,#newproduct,@alice,4200,Awesome product!,25-34,Male,http://socialmedia.com/post/235631,Summer Collection,363374,http://socialmedia.com/post/917474,54044,995081,FALSE,310712
15,Facebook,Check out our new product! Check out our New Product Launch!,Text,31-10-2023 17:53,Emily,London, England, UK,Share,#newproduct,@alice,165,Great post!,18-24,Female,http://socialmedia.com/post/954425,Winter Sale,606197,http://socialmedia.com/post/560426,660751,504855,TRUE,494926
16,Facebook,Check out our new product!,Video,27-10-2023 12:12,Aanya,Mumbai, Maharashtra, India,Like,#sample,@charlie,525,Thanks for sharing!,18-24,Male,http://socialmedia.com/post/737320,New Product Launch,28791,http://socialmedia.com/post/943135,377532,225943,FALSE,144615
17,Facebook,This is a sample post content Check out our New Product Launch!,Link,09-01-2023 03:40,Olivia,Sydney, NSW, Australia,Comment,#newproduct,@bob,49290,Awesome product!,25-34,Female,http://socialmedia.com/post/68315,New Product Launch,459777,http://socialmedia.com/post/298201,256070,104063,FALSE,255242
